,subject,trials,activations,torques,emgSO,emgMG,emgLG,lnemgSO,lnemgMG,lnemgLG,emg_norm_mvc,emg_norm_mmax
0,sub01,01,1.073749098796828,3.5638683350196203,0.0037826985020182865,0.0034665713769153374,0.0032541189961724447,-5.577317634625658,-5.664589249308974,-5.727833701655266,11.99059773862393,0.6561647516460322
1,sub01,05,4.300202126538344,10.135483719499147,0.00888982244438724,0.004349035155568255,0.004013908571034648,-4.722848202165649,-5.437801261801181,-5.51798980638742,28.64687690785032,1.5676508612348177
2,sub01,10,10.090744459945988,14.465865768973531,0.010144635489042864,0.003880182782564943,0.003916452991222671,-4.590810236458992,-5.551873017548054,-5.54256888398079,33.48199906894151,1.8322445705034538
3,sub01,15,12.114664374271666,16.29539599305722,0.00875019875909392,0.004883871056437525,0.0040149321110421595,-4.738678863545584,-5.321817124303015,-5.5177348405577105,30.531612696258613,1.6707897720278708
4,sub01,25,23.010005379095844,25.398260531748168,0.008679919075435166,0.009540220955158323,0.0038015483594611645,-4.7467430734598866,-4.652238632872089,-5.572346832224213,27.730409049896405,1.5174987405887528
5,sub01,50,44.85731616757831,51.70945852243298,0.014372509248926451,0.02327407203269213,0.008886047800271657,-4.24243797695154,-3.7604153263155586,-4.723272895204062,48.33255754903352,2.644915734135764
6,sub01,75,71.15205757149535,77.9244222165423,0.020187995228289846,0.021606655046296122,0.012487211216771647,-3.902667146867838,-3.8347539077511157,-4.383050261058923,62.78625237363432,3.4358692196656797
7,sub01,90,78.4487603798905,98.89683780867604,0.04920599908114085,0.040814187179052365,0.03944063883409522,-3.0117397303735296,-3.198725533037566,-3.232958551759835,149.0620814409646,8.157164953794538
8,sub01,95,87.74158907843945,99.98841331764046,0.03883400376273119,0.03292818254161082,0.027919521050643742,-3.2484590305171777,-3.4134263756866434,-3.5784291555816736,117.3173539821924,6.4199895716232485
9,sub01,100,90.61900177052495,118.7668814672117,0.03696003388601198,0.05064845707731706,0.02846610242856034,-3.2979181153797454,-2.982846511193348,-3.559041288062922,121.10466689249002,6.627243729369386
0,sub02,01,1.5946003718450674,2.0852412813137264,0.0026135566594036657,0.006077308500624959,0.004109179302669588,-5.947043280534657,-5.103193361834404,-5.4945319534620705,5.663099609718201,0.49739832786441834
1,sub02,05,4.262273753065548,7.268908202702453,0.003534758820576073,0.005267826708114651,0.004088713279804179,-5.645110208106493,-5.2461373908367985,-5.499524959939736,6.566809258995714,0.5767724691304841
2,sub02,10,8.580008302107567,11.848728636305792,0.0034446141629474207,0.0067081954901619,0.004431221945720192,-5.670943379933323,-5.0044252926071335,-5.419079898712014,6.731070000283945,0.591199730468132
3,sub02,15,16.118705415815782,18.06151886481059,0.005973559304796228,0.006606640547421767,0.004686801080037013,-5.120412330774989,-5.019679992224166,-5.363005001727991,12.491252652933984,1.0971250040948002
4,sub02,25,27.105781724585533,27.80726451278828,0.0063454360218928784,0.0075049441572415465,0.005417551300642812,-5.060019461202378,-4.8921932546650275,-5.218111355167527,13.517546795735768,1.1872659208554106
5,sub02,50,53.67469993420792,49.90811222338181,0.011646637931183035,0.010320714265231078,0.009916879323459683,-4.452737730218441,-4.573602309576545,-4.613516991506047,21.621193692008074,1.8990210891545078
6,sub02,75,78.71647733120292,69.18545335831938,0.01912200038866611,0.012974539102899833,0.010428244756691567,-3.9569157539932838,-4.344766372495606,-4.5632373120804965,36.58185966129565,3.21303827933281
7,sub02,90,82.94141945058627,74.70294189585294,0.02195062453160178,0.02003187073003326,0.018261362747834367,-3.818959687400947,-3.9104307372585305,-4.002967776379071,41.96683764246959,3.686008777472416
8,sub02,95,95.18995335929023,97.57550564197379,0.03630773090692097,0.02706746613772508,0.02868674454461187,-3.315724587744335,-3.6094227838107567,-3.5513201254650024,72.25233299596235,6.346028163591336
9,sub02,100,94.17610455326026,93.79805946658561,0.029162599875084575,0.03400636182460549,0.029310213018377516,-3.534868216862585,-3.3812076593809373,-3.529819256514422,54.632170746859046,4.798423522422073
0,sub03,01,1.1872815487657506,1.6056579398878936,0.003055928285310671,0.003297521682773804,0.0026852610040128326,-5.790671874801816,-5.714584097875453,-5.919977347547272,5.536245040526133,0.6226418609036652
1,sub03,05,5.7769901291987775,4.171879340109857,0.002669682402851594,0.0028964266061250014,0.002662594825495175,-5.925795763887969,-5.8442775065627135,-5.9284541333713445,5.518325086611443,0.6206264671898619
2,sub03,10,6.98805876992421,12.174570882102763,0.005536580405280088,0.0039284068561590505,0.003431935136068721,-5.196378224168071,-5.539521315401898,-5.6746309972819,9.637921742716236,1.0839429044778037
3,sub03,15,13.084269519201385,15.638383309006517,0.010853903764172952,0.004307529417804853,0.004349874125095399,-4.523230469772994,-5.447390760147354,-5.437608371059898,21.152188764012898,2.3789117132284607
4,sub03,25,20.35014876414237,24.405585350862083,0.018345137291755284,0.005613456884969851,0.00742819060293144,-3.9983907373241667,-5.182588548691738,-4.902472975760116,34.396539360461155,3.8684568907752634
5,sub03,50,52.81457900752942,50.16475169424327,0.02932277736912768,0.009972929085742792,0.012050191451656802,-3.5293906803541595,-4.6078809482120935,-4.418674731067389,57.91977083269116,6.514031375127391
6,sub03,75,71.97480876196126,75.43495918141963,0.029198526088526956,0.008758951183619744,0.009293344191176937,-3.533637047402188,-4.7376791090990835,-4.678456813411016,53.761233903622255,6.046335463331912
7,sub03,90,82.51045149463442,79.153354425929,0.05198228321470814,0.014953967004317913,0.019720095863071163,-2.9568523258641246,-4.202778662885521,-3.926117068608958,102.26850822687683,11.501776711128546
8,sub03,95,87.27087255513302,106.84665109089892,0.07572561310086214,0.02107463541094627,0.027693187532929313,-2.5806388256887742,-3.8596850748430858,-3.586568833475791,147.8250637916173,16.62536107662396
9,sub03,100,92.86122934166949,107.67080247138736,0.055638465291223384,0.017410341194858212,0.024025787837501866,-2.8888804951393827,-4.050690927757183,-3.7286275322596163,107.12658932388321,12.048147876515673
0,sub04,01,3.3735052171275592,2.184911212126771,0.005853860358457812,0.005148957647006815,0.0019398948993165294,-5.140653945035593,-5.268960983431314,-6.245121482984488,8.067661614298611,1.197662605292542
1,sub04,05,5.415495305384077,5.697612743859392,0.008759942223728714,0.00482341393963159,0.002463840394220016,-4.737565969520346,-5.334273315405321,-6.006034010481905,12.809397352190002,1.901583995275813
2,sub04,10,11.481927208387388,12.293192270456684,0.022176735184619743,0.005790918628480231,0.003922692757400102,-3.80871150425957,-5.15146434221344,-5.540976933098561,27.997465088389234,4.156286986543673
3,sub04,15,17.75658208544273,16.49761754412385,0.019359059979699438,0.005201257186834982,0.004440435861037194,-3.944594753080118,-5.258854915916579,-5.417002740455789,20.501044741576376,3.0434264388207066
4,sub04,25,25.77476479000438,24.793243357172077,0.02662756872153405,0.007712659756637354,0.006854414930003292,-3.625808181802136,-4.864892175976527,-4.982862318989859,33.01843426677189,4.901661212033933
5,sub04,50,55.69175741601041,49.956734679083965,0.027507299135138788,0.019225628806570385,0.022375819058673977,-3.5933038864321336,-3.9515110563713303,-3.7997744095169446,32.57273207131652,4.835495713514808
6,sub04,75,81.56934286074036,74.74894810147666,0.07510027344931772,0.05331212888172021,0.04119313027884213,-2.588931079082622,-2.931591414941428,-3.1894837773342526,83.40401169096154,12.381514087875004
7,sub04,90,85.16087301118654,83.06865930406387,0.06469729534344856,0.0637474897189223,0.05372866401371643,-2.738035881386943,-2.752825472676976,-2.923808639361328,76.7143936755956,11.388425170202094
8,sub04,95,84.89727205625822,78.08834420059765,0.06291164517458607,0.043228864009049725,0.05111572828687081,-2.7660239945009018,-3.1412468584861784,-2.9736630348677986,77.77670849164599,11.546128206231373
9,sub04,100,91.90815064074583,89.25283762468514,0.0919071684121326,0.08424954027984531,0.06151036303644828,-2.3869762503542193,-2.4739721663836,-2.7885496137072843,99.18453483148878,14.724168423285697
0,sub05,01,1.6929590052494947,1.8514292732394546,0.0026893098779673845,0.004284772654396022,0.004211397565079895,-5.918470669224704,-5.452687784490208,-5.469960723173564,3.1336415472411576,0.697770307182093
1,sub05,05,5.6692155679955665,6.796164322777973,0.00547481265296657,0.004465493053480631,0.004141129049418563,-5.2075972225012865,-5.41137564443876,-5.486786811074643,5.009434235138472,1.1154544680256833
2,sub05,10,12.60638953910167,10.93455418856129,0.006083731917744084,0.004750407300301571,0.004330622174445177,-5.10213696904308,-5.349524917179778,-5.442044058041741,6.713541314400897,1.4949092659795133
3,sub05,15,14.70575368775594,15.992603259504481,0.01020301271045538,0.005130384280876484,0.004685298621681054,-4.585072238533067,-5.272574714052044,-5.363325625369789,9.277142927852495,2.0657483547340925
4,sub05,25,30.983606820667198,25.788129962343646,0.03150191062788417,0.009294749681636018,0.008872701666786524,-3.4577070801365153,-4.6783055886032034,-4.724775944281078,32.953778735467836,7.337842559338692
5,sub05,50,57.95498696789287,51.35652572472489,0.025863697874788448,0.013673894875893666,0.010552999825021716,-3.6549149199298747,-4.292266747402662,-4.5513451158740885,24.672203448144668,5.4937779957721915
6,sub05,75,82.31952041763616,76.86428196530478,0.09219119995354491,0.0771844073539036,0.06815449886299695,-2.3838905981640885,-2.561557819632606,-2.6859781088878827,93.34581269489702,20.785381932283865
7,sub05,90,95.67691323815514,96.16033083596182,0.09152858070271819,0.13361990170788884,0.12862218769204506,-2.3911039980673237,-2.0127560640943503,-2.0508759494631037,80.8663073042381,18.00656113269784
8,sub05,95,96.4237663396791,98.59255871075122,0.09007028512260506,0.10058146495601727,0.11476618644883231,-2.4071649676246585,-2.296787283261695,-2.1648583816116562,84.0446730425319,18.714290208953805
9,sub05,100,100.0,97.40478533774527,0.09153038234583263,0.10555944132214305,0.12008089028384289,-2.3910843143207923,-2.2484810598757687,-2.119589677595117,82.53810354045034,18.378821251062263
0,sub06,01,2.157688188929041,1.6803602197210388,0.0036181588820213572,0.005788511786901385,0.0033124468357457384,-5.621789978650034,-5.151880052058772,-5.710068137384785,8.323594531670077,0.7540191168874867
1,sub06,05,5.231150333778512,5.381864466338235,0.009285006801383182,0.006053856664282081,0.005108238128504697,-4.679354351664739,-5.1070597448634105,-5.276900723162227,19.94186416309155,1.8064967903148839
2,sub06,10,9.455349047545859,7.171291556908544,0.00872152881555337,0.005412406767318214,0.0029738525315085745,-4.741960733543949,-5.219061411239632,-5.817897018081943,19.823078441449212,1.7957362103045513
3,sub06,15,23.134545773776892,15.591312576266267,0.011414447981892726,0.005276753638050275,0.00443025711757768,-4.472875359180424,-5.244444211634734,-5.4192976565240984,27.657952728366826,2.505483059249242
4,sub06,25,32.55668742633214,25.007875830707352,0.024365680679248096,0.008163174377607213,0.006934703493502336,-3.714579666313169,-4.808122168789934,-4.971216981211943,50.37637341682844,4.5635029975601
5,sub06,50,53.50718001494401,33.87645398878264,0.0237697463335139,0.013356365318881725,0.009335137198130396,-3.7393416693744284,-4.315762204857779,-4.6739698049212635,52.224141977137265,4.730888952360684
6,sub06,75,77.04700258341705,49.86603436830939,0.028676398024335626,0.012179025457385726,0.01471009717080372,-3.551680863037077,-4.408040031610383,-4.21922113862557,58.10536952465781,5.263658537030257
7,sub06,90,92.87786613059396,77.79835719503063,0.06213770263042046,0.06354395026620978,0.047814711929954144,-2.7784023465661325,-2.7560234823185867,-3.0404219058781865,124.48966598868374,11.277289835930002
8,sub06,95,98.2338131091902,95.43487468376665,0.07280088458960715,0.11417488816655039,0.07831501680990761,-2.620027172897177,-2.1700238994031205,-2.5470159088067335,152.30563865482017,13.797087630654921
9,sub06,100,98.9001748936792,89.8311297535169,0.05190966526366376,0.06062419664489736,0.04960430421695322,-2.9582502775617145,-2.803061181030476,-3.0036776704486923,109.18481377081284,9.89085142767935
0,sub07,01,1.8678295409903622,5.905371008630024,0.006493837482541569,0.004906780088346862,0.0031440835578908487,-5.036901631401272,-5.3171373387851215,-5.762232827831045,5.195841706498674,1.1723260198925647
1,sub07,05,2.8962872076791824,5.5254637011966485,0.006467612753400556,0.004620364863147744,0.0034708085684244483,-5.040948210209818,-5.377281602299524,-5.663367695330559,7.052679291416646,1.5912800871019566
2,sub07,10,8.637982197697557,10.805558726942888,0.010161532583175455,0.006280885771397157,0.004388142446252639,-4.589146003407,-5.070244262047317,-5.428849274413138,8.712671599349532,1.9658203994015437
3,sub07,15,16.168403323461455,15.514073490090334,0.01524715241803488,0.004981075294306531,0.004049450869067994,-4.183362520050552,-5.302109488701983,-5.509173994941003,15.416458802902486,3.478380753331938
4,sub07,25,35.80965727748024,24.854388149671113,0.02487090246497317,0.011471169298559958,0.004967310944807584,-3.694056734532342,-4.467918408960084,-5.304876642680743,21.494390257975095,4.849730689376591
5,sub07,50,56.11950121980207,34.31229747601805,0.0173323124219345,0.01216060596501296,0.008224023250925137,-4.055182749537966,-4.409553571036629,-4.800695743069392,15.516483169694,3.5009490251224946
6,sub07,75,72.69641493345735,49.096906432320395,0.026072462417549635,0.017653716907629805,0.011009723483443559,-3.6468756014293513,-4.0368089281063115,-4.508976443599852,23.242196724780843,5.244084311853213
7,sub07,90,100.0,88.8934663799613,0.09262579857290004,0.06436603745424069,0.048557568859535494,-2.3791875738332804,-2.743169153702594,-3.025005198156011,77.45059563527454,17.475002828867073
8,sub07,95,95.92465650857021,94.33411369269767,0.10134765342216574,0.07508817693917051,0.03897516333170563,-2.289198559562175,-2.5890921635087825,-3.244830673368293,106.91053586736112,24.121982554088174
9,sub07,100,100.0,97.6236550480097,0.08907011932680879,0.07871006616282263,0.06981381518266265,-2.41833136184229,-2.5419842262383385,-2.6619233635453825,81.59828843540892,18.410837380184695
0,sub08,01,2.102838817427477,0.48133812669567033,0.0010977001223140418,0.0015153631211379068,0.004347301170353044,-6.8145380858434415,-6.492100184820996,-5.438200047030548,1.5321173765515692,0.5187760883886405
1,sub08,05,6.671027172459865,1.7226455024672058,0.0012133575416621814,0.0014729185258483856,0.004306560425358622,-6.714363934281254,-6.520509454743284,-5.447615738634452,1.5859110605810807,0.5369906699918177
2,sub08,10,9.127068511970805,0.6136162645231584,0.0012725038791149986,0.0015900916525359824,0.0045368308639360515,-6.666768761123811,-6.443963621306906,-5.395526558268717,1.5995358482340718,0.5416040332705852
3,sub08,15,11.834180926790872,4.047994481500719,0.005461801018843126,0.002168263081543091,0.004646326139388744,-5.209976686685184,-6.133828855191532,-5.3716784492094405,6.001419109706404,2.032084994376756
4,sub08,25,19.97308256326642,14.52509774824237,0.00659587511720704,0.006004611104523872,0.006185840902374839,-5.0213108075739274,-5.115227587491736,-5.085492324032404,7.134411876782358,2.4157171917996547
5,sub08,50,44.28100065877661,23.62569907150073,0.013540311049959756,0.00735714972247621,0.006955547679672683,-4.302084039091288,-4.912082687216089,-4.968215710528374,17.04284042947193,5.770718502607906
6,sub08,75,66.62414678424753,49.10640141014667,0.01601107331962866,0.012435783536468015,0.01617855067271235,-4.1344747136442015,-4.387177193139434,-4.124068946597987,17.99253281656788,6.092285054420671
7,sub08,90,88.9617482785692,72.80341291216646,0.0460806930848252,0.03389195838354199,0.046002528668641324,-3.07736122180429,-3.3845775085605765,-3.079058912946475,56.80789602579187,19.235196037120957
8,sub08,95,100.0,104.65237661542778,0.08771711300326586,0.06435157346878312,0.08636645037251638,-2.433638267473522,-2.7433938935095985,-2.449155984456028,100.17450959518783,33.9191637921435
9,sub08,100,97.06533685063043,95.96711563784206,0.11604793249765033,0.05932975355747248,0.06899424461821826,-2.1537519620373637,-2.824644352479314,-2.673732189193966,137.17531953524136,46.44766568219853
0,sub09,01,-1.1167754367150673,1.0019001154886937,0.003680365293983039,0.012113821510431808,0.005170608579175316,-5.604743267058405,-4.413408204688129,-5.264764883815936,5.804625388335208,0.8761751711170577
1,sub09,05,2.6217529569594666,5.953565695978961,0.0036789655850968657,0.009951233308117988,0.004912378481427713,-5.605123657321066,-4.61005878492825,-5.315997038697758,4.475914559598912,0.6756138325554654
